ClipName,FrameNumber,Score,Wickets,PlayerCount,GroundView,CrowdView,ClipNumber
clip1,frame1,3,3,3,0,0,clip1
clip1,frame2,3,3,4,0,0,clip1
clip1,frame3,,3,7,0,0,clip1
clip1,frame4,2,0,7,0,0,clip1
clip1,frame5,2,0,7,1,0,clip1
clip1,frame6,2,0,8,0,0,clip1
clip1,frame7,2,0,4,0,0,clip1
clip1,frame8,2,0,2,0,0,clip1
clip1,frame9,2,0,2,1,0,clip1
clip1,frame10,2,0,13,0,0,clip1
clip1,frame11,2,0,12,0,0,clip1
clip1,frame12,2,0,16,0,0,clip1
clip1,frame13,2,0,15,0,0,clip1
clip1,frame14,2,1,12,0,0,clip1
clip1,frame15,2,1,10,0,0,clip1
clip1,frame16,2,1,12,0,0,clip1
clip1,frame17,2,1,12,0,0,clip1
clip1,frame18,2,1,12,0,0,clip1
clip2,frame1,4,1,1,0,0,clip2
clip2,frame2,4,1,1,0,0,clip2
clip2,frame3,4,1,4,0,0,clip2
clip2,frame4,4,1,6,1,0,clip2
clip2,frame5,4,1,6,0,0,clip2
clip2,frame6,4,1,3,0,0,clip2
clip2,frame7,4,1,0,0,0,clip2
clip2,frame8,4,1,0,0,0,clip2
clip2,frame9,4,1,5,0,0,clip2
clip2,frame10,4,1,2,0,0,clip2
clip2,frame11,4,1,2,0,0,clip2
clip2,frame12,5,1,1,0,0,clip2
clip2,frame13,6,1,2,0,0,clip2
clip2,frame14,7,1,1,0,0,clip2
clip2,frame15,8,1,1,0,0,clip2
clip2,frame16,8,1,2,0,0,clip2
clip2,frame17,8,1,1,0,0,clip2
clip2,frame18,8,1,2,0,0,clip2
clip2,frame19,8,1,3,0,0,clip2
clip2,frame20,8,1,1,0,0,clip2
clip3,frame1,-1,-1,1,0,0,clip3
clip3,frame2,23,1,4,0,0,clip3
clip3,frame3,23,1,7,0,0,clip3
clip3,frame4,23,1,4,0,0,clip3
clip3,frame5,23,1,0,0,0,clip3
clip3,frame6,23,1,0,0,0,clip3
clip3,frame7,23,1,0,0,0,clip3
clip3,frame8,26,1,10,0,0,clip3
clip3,frame9,26,1,19,0,0,clip3
clip3,frame10,28,1,20,0,0,clip3
clip3,frame11,29,1,4,0,0,clip3
clip3,frame12,29,1,6,0,0,clip3
clip3,frame13,29,1,7,0,0,clip3
clip4,frame1,35,1,5,0,0,clip4
clip4,frame2,35,1,1,0,0,clip4
clip4,frame3,35,1,3,0,0,clip4
clip4,frame4,35,1,5,1,0,clip4
clip4,frame5,35,1,5,0,0,clip4
clip4,frame6,35,1,0,1,0,clip4
clip4,frame7,35,1,0,1,0,clip4
clip4,frame8,35,1,0,1,0,clip4
clip4,frame9,36,1,3,0,0,clip4
clip4,frame10,36,1,1,0,0,clip4
clip4,frame11,37,1,1,0,0,clip4
clip4,frame12,38,1,2,0,0,clip4
clip4,frame13,38,1,1,0,0,clip4
clip4,frame14,38,1,1,1,0,clip4
clip4,frame15,38,1,1,1,0,clip4
clip5,frame1,39,1,1,1,0,clip5
clip5,frame2,39,1,1,1,0,clip5
clip5,frame3,39,1,1,1,0,clip5
clip5,frame4,39,1,1,0,0,clip5
clip5,frame5,39,1,1,0,0,clip5
clip5,frame6,39,1,4,0,0,clip5
clip5,frame7,39,1,5,0,0,clip5
clip5,frame8,39,1,5,0,0,clip5
clip5,frame9,39,1,2,0,0,clip5
clip5,frame10,39,1,0,0,0,clip5
clip5,frame11,39,1,0,0,0,clip5
clip5,frame12,61,1,3,0,0,clip5
clip5,frame13,66,1,1,0,0,clip5
clip5,frame14,65,1,18,0,0,clip5
clip5,frame15,65,1,20,0,0,clip5
clip5,frame16,65,1,20,0,0,clip5
clip5,frame17,65,1,1,0,0,clip5
clip5,frame18,65,1,1,0,0,clip5
clip5,frame19,65,1,1,0,0,clip5
clip5,frame20,65,1,1,0,0,clip5
clip6,frame1,65,1,5,1,0,clip6
clip6,frame2,65,1,5,0,0,clip6
clip6,frame3,65,1,3,0,0,clip6
clip6,frame4,65,1,7,0,0,clip6
clip6,frame5,65,1,8,0,0,clip6
clip6,frame6,66,1,1,1,0,clip6
clip6,frame7,66,1,1,1,0,clip6
clip6,frame8,67,1,1,0,0,clip6
clip6,frame9,68,1,1,0,0,clip6
clip6,frame10,69,1,3,0,0,clip6
clip7,frame1,69,1,2,0,0,clip7
clip7,frame2,69,1,2,1,0,clip7
clip7,frame3,69,1,1,1,0,clip7
clip7,frame4,50,1,0,1,0,clip7
clip7,frame5,50,1,1,1,0,clip7
clip7,frame6,50,1,1,1,0,clip7
clip7,frame7,50,1,8,1,0,clip7
clip7,frame8,50,1,4,1,0,clip7
clip7,frame9,50,1,2,0,0,clip7
clip7,frame10,50,1,3,0,0,clip7
clip7,frame11,50,1,2,0,0,clip7
clip7,frame12,50,1,6,0,0,clip7
clip7,frame13,50,1,5,0,0,clip7
clip7,frame14,50,1,4,0,0,clip7
clip7,frame15,50,1,5,0,0,clip7
clip8,frame1,52,1,1,0,0,clip8
clip8,frame2,52,1,4,0,0,clip8
clip8,frame3,52,1,1,0,0,clip8
clip8,frame4,52,1,1,0,0,clip8
clip8,frame5,52,1,6,0,0,clip8
clip8,frame6,52,1,3,0,0,clip8
clip8,frame7,52,1,5,0,0,clip8
clip8,frame8,52,1,15,0,0,clip8
clip8,frame9,52,1,12,0,0,clip8
clip8,frame10,52,1,6,0,0,clip8
clip9,frame1,55,1,2,0,0,clip9
clip9,frame2,55,1,4,0,0,clip9
clip9,frame3,56,1,4,0,0,clip9
clip9,frame4,56,1,3,0,0,clip9
clip9,frame5,56,1,1,0,0,clip9
clip9,frame6,56,1,2,0,0,clip9
clip9,frame7,57,1,2,0,0,clip9
clip9,frame8,58,1,2,1,0,clip9
clip9,frame9,59,1,2,1,0,clip9
clip9,frame10,59,1,1,1,0,clip9
clip10,frame1,68,1,6,0,0,clip10
